name,location,rate,online_order,approx_cost(for two people)
Kulfi & More,Banashankari,,No,150
Kannadigas Karavali,Banashankari,,No,250
K27 - The Pub,Banashankari,3.1/5,No,"1,000"
Bengaluru Coffee House,Banashankari,4.1/5,Yes,300
New Mangalore Lunch Home,Banashankari,3.3/5,No,200
Coffee Bytes,Banashankari,3.1/5,No,100
Parjanya Chat Zone,Banashankari,3.3/5,No,200
Kwality Wall's Swirl's Happiness Station,Banashankari,2.9/5,No,200
Soms Kitchen & Bakes,Banashankari,,No,400
Banashankari Nati Style,Banashankari,,No,350
Ruchi Maayaka,Banashankari,3.3/5,No,100
Mohitesh Hut Roll,Banashankari,,No,150
Sri Basaveshwar Jolada Rotti Oota,Banashankari,,No,150
Roll Magic Fast Food,Banashankari,NEW,No,200
Foodlieious Multi Cuisine,Banashankari,NEW,No,100
Thanishka Nati And Karavali Style,Banashankari,NEW,No,400
Swathi Cool Point,Banashankari,,No,200
Kaumudis Juoice,Banashankari,,No,150
Amma - Manae,Banashankari,,No,400
Sri Sai Tiffannies,Banashankari,,No,150
Hotel Andhra Speices,Banashankari,,No,250
Sri Murari Family Restaurant,Banashankari,,No,250
Aramane Donne Biriyani,Banashankari,,No,150
Darkolates,Banashankari,,No,200
Swaada Healthy Kitchen,Banashankari,,No,350
Gawdaru Mane Beriyani,Banashankari,,No,300
Melting Melodies,Banashankari,NEW,No,100
New Indraprasta,Banashankari,NEW,No,150
Anna Kuteera,Banashankari,4.0/5,Yes,450
Darbar,Banashankari,3.0/5,No,800
Vijayalakshmi,Basavanagudi,3.9/5,Yes,200
Sri Udupi Food Hub,Jayanagar,4.1/5,Yes,500
Udupi Upahar,Banashankari,3.8/5,Yes,300
House Of Kebabs,Basavanagudi,3.8/5,Yes,650
Roll N Rock,Kumaraswamy Layout,3.8/5,Yes,400
BOX8- Desi Meals,Banashankari,4.1/5,Yes,500
KFC,Banashankari,3.8/5,Yes,450
Bitez,Banashankari,NEW,No,100
Roll Over,Jayanagar,4.1/5,Yes,500
Imperial Restaurant,Mysore Road,3.7/5,Yes,750
Lassi Shop,Kumaraswamy Layout,3.9/5,Yes,150
The Fortuna,Kumaraswamy Layout,3.0/5,Yes,250
Wahab,Jayanagar,3.7/5,Yes,350
Al Diwan Biryanis And More,Basavanagudi,3.3/5,Yes,300
New Gowda's Fried Chicken,Banashankari,3.3/5,Yes,300
