name,location,rate,online_order,approx_cost(for two people)
Qube Cafe,Koramangala 4th Block,4.2/5,Yes,700
PK Dhaba,Marathahalli,NEW,Yes,250
Rang De Basanthi,Koramangala 4th Block,3.7/5,Yes,400
The Burger Place,Koramangala 1st Block,3.8/5,Yes,400
Little Lucknow,Koramangala 5th Block,4.0/5,Yes,800
Odissi Restaurant,BTM,2.8/5,Yes,500
1441 Pizzeria,JP Nagar,4.1/5,Yes,800
Quench The Juice Lounge,Jayanagar,3.6/5,Yes,150
Dabba Gosht,BTM,3.5/5,Yes,400
Calvin's,HSR,3.8/5,Yes,800
Kababish Restaurant,BTM,3.6/5,Yes,700
Smoke - The Sizzler House,Bannerghatta Road,3.8/5,Yes,"1,100"
GrannyzHut,HSR,3.4/5,Yes,350
Cafe Noir,Koramangala 7th Block,,Yes,"1,500"
The Beer Cafe,Koramangala 4th Block,4.2/5,Yes,"1,300"
Attic Lounge,Koramangala 4th Block,4.0/5,Yes,700
AM WOW,Jayanagar,3.4/5,Yes,100
Nati Palace,JP Nagar,3.5/5,Yes,200
Eagles Pizza,Koramangala 7th Block,3.6/5,Yes,400
Shake The Shake,BTM,NEW,Yes,200
Bistro Claytopia,Koramangala 1st Block,4.1/5,Yes,600
Mr. Parathewala,Jayanagar,,Yes,300
Healthy Parathawala,BTM,NEW,Yes,200
Veruthe Oru Thattukada,BTM,3.7/5,Yes,400
Delicacy,Koramangala 4th Block,3.9/5,Yes,500
My Tea House,Banashankari,NEW,Yes,500
WTF,Koramangala 5th Block,4.1/5,Yes,600
Indian Desi Momo,Bommanahalli,,Yes,200
Flavour of Himalaya,Koramangala 5th Block,3.7/5,Yes,500
Chilld Monk,BTM,3.5/5,Yes,250
Hum Biryani,BTM,3.4/5,Yes,600
Ganesh Restaurant,Koramangala 5th Block,3.7/5,Yes,300
Stories,JP Nagar,4.2/5,Yes,"1,200"
Paratha Singh Pakora King,Koramangala 6th Block,3.7/5,Yes,300
Eshmeet Da Dhaba,Koramangala 6th Block,3.1/5,Yes,500
Moolehatti Donne Biryani Mane,HSR,3.6/5,Yes,400
Ice Stone Creamery,Jayanagar,3.7/5,Yes,400
Foodiesthan,HSR,3.7/5,Yes,600
Juice Shop,BTM,3.5/5,Yes,150
Asia Kitchen By Mainland China,Koramangala 5th Block,4.9/5,Yes,"1,500"
Hungry Haters,JP Nagar,,Yes,300
Howrah Bridge,HSR,3.3/5,Yes,600
Ghee Positive,Koramangala 8th Block,3.8/5,Yes,300
Sarvam,HSR,3.6/5,Yes,550
Roll Over,JP Nagar,4.1/5,Yes,500
Mockaholic Restro Beer Cafe,JP Nagar,3.9/5,Yes,"1,000"
The Monalisa Restaurant,Koramangala 5th Block,3.3/5,Yes,300
Basmati's Briyani Nation,HSR,NEW,Yes,350
Marwa Restaurant,Bannerghatta Road,3.5/5,Yes,600
Tibetan Mother's Kitchen,Koramangala 7th Block,4.0/5,Yes,500
Pecos Hideout,BTM,4.0/5,No,"1,100"
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,4.4/5,Yes,"1,000"
Yum In My Tum,BTM,4.1/5,Yes,300
Once In Nature,JP Nagar,3.7/5,Yes,300
Gud Dhani,BTM,4.0/5,Yes,500
Royal Paris,BTM,3.9/5,Yes,"1,000"
What'sinaPita,Koramangala 1st Block,3.9/5,Yes,400
David's Kitchen,BTM,3.5/5,Yes,200
Daniyal's,BTM,3.1/5,Yes,800
Smally's Resto Cafe,Koramangala 5th Block,4.2/5,Yes,650
Tarbouche,Koramangala 5th Block,4.0/5,Yes,300
Fujian Express,HSR,3.2/5,Yes,200
Desi Flavours,Koramangala 1st Block,3.9/5,Yes,400
Swaadam Veg,BTM,3.6/5,Yes,300
Bakers77,Jayanagar,4.0/5,Yes,400
Mustard Food Court,Koramangala 3rd Block,3.6/5,Yes,500
Patiala House,Koramangala 7th Block,,Yes,300
Once Upon A Flame,HSR,4.5/5,Yes,"1,200"
Skinz Ooty Chocolate,Koramangala 8th Block,,Yes,200
Karahi Kitchen,Koramangala 5th Block,3.9/5,Yes,300
Nagas,HSR,2.9/5,Yes,300
Stoned Monkey,Koramangala 6th Block,4.1/5,Yes,500
Chung Wah,Bannerghatta Road,4.0/5,Yes,800
The Shawarma Shop,BTM,4.1/5,Yes,250
Nilu Ki Rasoi,BTM,3.7/5,Yes,250
New Kabab Zone,Bannerghatta Road,3.7/5,Yes,500
Brownie Heaven,Koramangala 5th Block,3.9/5,Yes,300
Ruh's Cafe,BTM,4.1/5,Yes,500
Barbeque Delight,Koramangala 5th Block,3.7/5,Yes,800
Milk N Shakes,Koramangala 8th Block,3.7/5,Yes,300
Fritz Haber,HSR,4.1/5,Yes,450
Chicken Corner,BTM,3.7/5,Yes,400
Bombay Kulfi,Jayanagar,3.8/5,Yes,150
Bangaliana,Koramangala 7th Block,3.9/5,Yes,600
Rolla Rappa,HSR,3.6/5,Yes,400
Still Sipping,HSR,NEW,Yes,800
Basmati Delights,BTM,4.0/5,Yes,500
Tawa Ghar Ka,HSR,3.8/5,Yes,350
Uday Sweets,Koramangala 5th Block,3.8/5,Yes,250
Only Sharjah,BTM,NEW,Yes,200
Chillout,BTM,,Yes,200
D Fusion,Bommanahalli,3.5/5,Yes,400
Vidya Cafe,JP Nagar,3.2/5,Yes,300
Mitran Da Junction,Koramangala 6th Block,4.1/5,Yes,600
B2D Indori Dhaba,BTM,,No,100
Freshies Gourmet Salads,HSR,3.7/5,Yes,350
Bansuri Sweets,BTM,3.8/5,No,200
Lassi Darbar,BTM,3.6/5,Yes,200
Lot Like Crepes,Koramangala 7th Block,4.7/5,Yes,550
Gramin,Koramangala 7th Block,4.3/5,Yes,600
Tenzin Kitchen,Koramangala 7th Block,4.2/5,Yes,450
Raichur Biryani House,HSR,3.8/5,Yes,400
Yummerica Fries,BTM,3.3/5,No,300
Hot Burg,Bannerghatta Road,3.5/5,Yes,200
Willys Top Cafe,Jayanagar,4.0/5,Yes,750
New Prashanth Hotel,Jayanagar,3.6/5,Yes,750
Laziz Pizza,Koramangala 7th Block,3.8/5,Yes,400
Al Hayath,BTM,3.5/5,No,200
Khaja Point,BTM,NEW,No,300
Kumarakom,HSR,3.8/5,Yes,600
Babu Moshai,Bannerghatta Road,3.1/5,Yes,500
Shanghai Court,Bannerghatta Road,4.2/5,Yes,700
Ascharya Hotel,Koramangala 5th Block,3.4/5,Yes,300
Dev's Gugababa,BTM,3.5/5,Yes,500
DinePost9,Koramangala 1st Block,3.9/5,Yes,450
WAFL Co,Koramangala 5th Block,4.3/5,Yes,400
Oh My Biryani,HSR,3.7/5,Yes,550
Kinpeetos,Koramangala 5th Block,3.9/5,Yes,300
Pipabu,Koramangala 4th Block,3.8/5,Yes,750
Chun Li,Koramangala 6th Block,,Yes,300
Nutri Fit,HSR,3.4/5,Yes,300
Punjabi by Nature 2.0,BTM,4.2/5,Yes,"1,600"
Curry Leaves,Jayanagar,3.8/5,Yes,600
Biryani Miya,JP Nagar,3.7/5,Yes,600
Abhiruchi Hotel,Bommanahalli,3.2/5,Yes,500
Ishta Cafe,Jayanagar,3.9/5,Yes,500
Olives Restaurant,HSR,,Yes,400
D View Cafe,JP Nagar,4.0/5,Yes,"1,000"
Mr. Cane,Bommanahalli,,Yes,100
Chai Culture,Jayanagar,3.6/5,Yes,200
Ambara Gardenia,Bannerghatta Road,3.8/5,Yes,800
Nellore Ruchulu,Bannerghatta Road,3.7/5,Yes,800
Brewsky,JP Nagar,4.4/5,Yes,"1,600"
Stoner,Koramangala 5th Block,4.5/5,Yes,500
Baba Chatkora,Koramangala 6th Block,4.2/5,Yes,"1,000"
The Rasoiya Street,HSR,4.1/5,Yes,800
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,4.3/5,Yes,700
Chulha Chauki Da Dhaba,JP Nagar,4.3/5,Yes,800
Smise,Koramangala 4th Block,4.0/5,Yes,650
Mystique Palate,Jayanagar,4.1/5,Yes,300
Eat N Pack,BTM,,No,150
A Hole Lotta Love Cafe,Koramangala 5th Block,4.4/5,Yes,600
Ilyazsab The House Of Chicken,BTM,4.0/5,Yes,250
Tall Blonde French,Koramangala 5th Block,4.3/5,Yes,400
The Paramount Hotel,Koramangala 5th Block,3.5/5,Yes,"1,000"
The Litti Company,Koramangala 4th Block,3.7/5,Yes,400
Rafees Biryani,Koramangala 5th Block,3.7/5,Yes,600
Karavali Grand,Koramangala 5th Block,3.7/5,Yes,600
Meenu Oota Da Maane,Koramangala 5th Block,4.2/5,Yes,800
TheRiceBowl.In,BTM,3.4/5,Yes,200
Juicy Momos,Bannerghatta Road,3.1/5,Yes,250
FNP Cakes N More,Koramangala 5th Block,,Yes,700
Habibi Falafel,Koramangala 1st Block,4.3/5,Yes,300
Cucumber Town,BTM,4.2/5,Yes,600
Bonsouth,Koramangala 5th Block,4.2/5,Yes,"1,300"
BTM Ghar ka Khana,BTM,3.7/5,No,200
Rolls On Wheels,BTM,3.5/5,No,200
Belgian Waffle Factory,Koramangala 5th Block,4.8/5,Yes,400
Nasi And Mee,Koramangala 4th Block,4.4/5,Yes,"1,000"
NutBerry,HSR,3.7/5,Yes,150
Darshan Paradise Restaurant,BTM,NEW,Yes,250
Navami,Jayanagar,3.5/5,Yes,600
Ambur Biryani,Koramangala 8th Block,,Yes,200
Shetty's Kitchen,Bannerghatta Road,3.7/5,Yes,600
Aami Bangali,Koramangala 5th Block,3.0/5,Yes,700
Pizza Stop,JP Nagar,3.9/5,Yes,600
Juice Junction,JP Nagar,2.8/5,Yes,150
Tasty Jigarthanda,BTM,3.4/5,Yes,150
Bake and Juice,BTM,3.5/5,Yes,400
The Cuboidal,BTM,3.6/5,Yes,300
New Karawali Lunch Home,Bannerghatta Road,3.5/5,Yes,350
Dalma,Koramangala 6th Block,3.9/5,Yes,600
BANGALORE BOX,BTM,4.1/5,Yes,"1,500"
Mid-Night Crunch,HSR,3.6/5,Yes,400
RotiCurry,HSR,3.1/5,Yes,300
Hotel Khaaja,Bannerghatta Road,3.1/5,Yes,250
Chavadi,Bannerghatta Road,4.4/5,Yes,"1,200"
Make It Roll,HSR,3.8/5,Yes,400
Tarbouche,BTM,3.8/5,Yes,300
Roots,Koramangala 1st Block,4.5/5,Yes,"1,200"
Bamey's Restro Cafe,Koramangala 5th Block,4.2/5,Yes,600
Shaap,Koramangala 5th Block,3.6/5,Yes,500
Sultans of Spice,Koramangala 5th Block,4.5/5,Yes,"1,300"
Kolkata Famous Kati Roll,JP Nagar,3.5/5,Yes,200
DeliBox.in,BTM,3.7/5,Yes,150
Waffle Head,BTM,4.0/5,Yes,300
The Coastal Crew by Fujian on 24th,JP Nagar,4.2/5,Yes,"1,100"
Taste of Nepal,Koramangala 8th Block,3.5/5,Yes,350
Oye Mithai,Koramangala 1st Block,,Yes,200
Haagen Dazs,Koramangala 7th Block,3.9/5,Yes,800
Potato Bae,Koramangala 5th Block,4.0/5,Yes,500
Bistro Oui,Koramangala 5th Block,4.1/5,Yes,"1,200"
FreshBakes,Koramangala 1st Block,,Yes,350
Meal & Biryani,Bommanahalli,3.6/5,Yes,450
Grills & Rolls,JP Nagar,2.5/5,Yes,400
Fitnest,BTM,3.2/5,Yes,350
Go Native,Jayanagar,4.3/5,Yes,800
Mother's Rasoi,Bannerghatta Road,3.8/5,Yes,250
Sonar Bangala,Koramangala 5th Block,3.8/5,Yes,500
Cochin Connection,Koramangala 6th Block,3.6/5,Yes,500
Krem,Koramangala 5th Block,4.1/5,Yes,450
Samaikya,HSR,3.9/5,Yes,900
Aniram's,JP Nagar,4.1/5,Yes,500
Alif Restaurant,JP Nagar,3.6/5,Yes,600
Ross Kitchen,BTM,3.6/5,Yes,400
Garma Garam,Bannerghatta Road,3.2/5,Yes,350
Crafted Plate,JP Nagar,4.2/5,Yes,600
Punjabi Times,Bannerghatta Road,4.1/5,Yes,"1,000"
Zangos Grill,Koramangala 1st Block,4.0/5,Yes,300
Friends Chats Adda,BTM,NEW,No,200
Amjad Bhai's Star Hotel - Home Food Only,BTM,NEW,No,300
Taste Of Kolkata,BTM,3.1/5,Yes,400
AlienSip,BTM,3.6/5,Yes,200
Fanoos Xprss,Jayanagar,3.7/5,Yes,400
Pasta Street,Koramangala 4th Block,4.5/5,Yes,"1,300"
Gujrati Mess,JP Nagar,3.6/5,Yes,200
Helloo Delhi,Koramangala 4th Block,4.1/5,Yes,"1,000"
Sambram Biriyani Paradise,JP Nagar,3.6/5,Yes,600
Sufra Restaurant,HSR,3.7/5,Yes,800
WOW Laddus,JP Nagar,,Yes,800
Mad Over Biryani,JP Nagar,3.3/5,Yes,600
LIT Gastro Pub,Jayanagar,3.8/5,Yes,"1,000"
Arabian Bites,BTM,3.4/5,Yes,300
Chai Street,Koramangala 5th Block,3.2/5,Yes,150
Appana Restaurant,BTM,3.5/5,Yes,300
Oye Amritsar,JP Nagar,3.8/5,Yes,600
Bisimillah Biriyani,BTM,3.5/5,No,300
Pizza Palace,Bommanahalli,NEW,Yes,300
Feastaurant,HSR,3.7/5,Yes,800
The Yellow Chilli,Jayanagar,3.8/5,Yes,"1,200"
Khan Saheb Grills and Rolls,Jayanagar,3.9/5,Yes,350
Cafe Thulp,Koramangala 1st Block,4.1/5,Yes,"1,000"
Grillopia,BTM,3.9/5,Yes,"1,000"
The Food Cottage,BTM,3.7/5,Yes,350
The Smoke Co.,Koramangala 6th Block,4.3/5,Yes,"2,500"
Rashtrakutas,HSR,3.9/5,Yes,800
Hunger Hitman,Koramangala,3.8/5,Yes,300
More Pizza,JP Nagar,3.8/5,Yes,450
Snow'ora,Koramangala 4th Block,4.3/5,Yes,450
Spurthi Foods,BTM,3.7/5,Yes,300
Zhang's - Chinese Restaurant,JP Nagar,4.1/5,Yes,700
New Friends,BTM,3.8/5,Yes,900
Big Fat Brownie,HSR,,Yes,400
Sky Juice Corner,Koramangala 5th Block,NEW,Yes,100
Al-Marhaba Restaurant,BTM,NEW,Yes,400
Lazeez,Koramangala 5th Block,3.2/5,Yes,600
Aalishan Restaurant & Caterer,Koramangala 7th Block,3.5/5,Yes,650
Reddy's Paradise,HSR,3.1/5,Yes,700
Hotel Food Lands,Koramangala 7th Block,3.8/5,Yes,700
Toscano,Koramangala 7th Block,4.5/5,Yes,"1,500"
Mughlai Kitchen,BTM,3.5/5,Yes,600
Peace Restaurant,Koramangala 5th Block,3.8/5,Yes,500
YORK St.,Koramangala 5th Block,4.4/5,Yes,900
Tongue Twisters,BTM,3.5/5,Yes,350
Black Kitchen,Koramangala 6th Block,3.7/5,Yes,400
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,4.4/5,Yes,"1,500"
Tandoor And Spice,JP Nagar,4.0/5,Yes,550
Avon Bar & Kitchen,BTM,3.7/5,No,700
China Pearl,Koramangala 6th Block,4.4/5,Yes,"1,100"
Anupam's Coast II Coast,Koramangala 6th Block,4.1/5,Yes,700
Vaathsalya Millet Cafe,JP Nagar,4.1/5,Yes,500
Cheesy Juicy Burgers,HSR,3.8/5,Yes,500
Yum Kitchen,HSR,3.2/5,Yes,600
Pazzo,HSR,4.3/5,Yes,700
What's In A Name,Koramangala 5th Block,4.1/5,Yes,"1,200"
Dragon's Kitchen,HSR,3.1/5,Yes,500
Tunday Kababi,Koramangala 5th Block,3.9/5,Yes,500
Anvar Bhai's,BTM,,Yes,250
Flavour of China,BTM,3.8/5,Yes,550
Bombay Kulfis,Koramangala 5th Block,3.9/5,Yes,200
Biryani Foodies,Koramangala 5th Block,3.1/5,Yes,500
Azimmo Treat,HSR,3.8/5,Yes,700
Authentic Aandhra,BTM,NEW,Yes,300
Aaccord Restaurant,BTM,NEW,No,700
Salut,Jayanagar,4.1/5,Yes,"1,200"
Maria's Goan Kitchen,Koramangala 7th Block,3.9/5,Yes,750
Dhaba Bytes,HSR,4.1/5,Yes,650
Noon's,HSR,4.2/5,Yes,300
ReadyBowl,BTM,3.7/5,Yes,400
The Waffle Street,HSR,3.9/5,Yes,300
Hotel Aradhana,Bannerghatta Road,3.7/5,Yes,300
Pizza Cart,HSR,3.8/5,Yes,800
Healthy Parathawala,BTM,NEW,Yes,200
China Bowl,Koramangala 6th Block,3.9/5,Yes,"1,000"
Grills And Tandoor,Koramangala 5th Block,3.6/5,Yes,900
Smokey Tribe Restaurant,Koramangala 7th Block,3.8/5,Yes,650
MK Dabbawala,Koramangala 4th Block,3.1/5,Yes,400
Natural Mumbai Kulfi,BTM,3.5/5,Yes,130
Cafe 221B,BTM,3.7/5,Yes,300
Harry's Bar + Cafe,Koramangala 7th Block,4.2/5,Yes,"1,400"
Meal Square,Bannerghatta Road,3.4/5,Yes,600
Biriyani Mane,Jayanagar,3.7/5,Yes,700
Crumb Together,JP Nagar,4.1/5,Yes,"1,200"
Hotel Reddy Bhavan,HSR,3.4/5,Yes,300
Indus Family Restaurant,BTM,3.8/5,Yes,600
Buff Buffet Buff,Koramangala 5th Block,4.5/5,Yes,"1,500"
Tasty Noodle,HSR,3.4/5,Yes,400
Brooks and Bonds Brewery,Koramangala 5th Block,4.4/5,Yes,"1,600"
Narmadha's Hyderabad Biriyani,BTM,3.9/5,No,550
Chinese House,Jayanagar,2.8/5,Yes,300
New Shanthi Sagar,BTM,,No,300
The Marash,Koramangala 5th Block,4.3/5,Yes,250
Gods Own Cafe,Koramangala 7th Block,4.4/5,Yes,300
Tim Tai,Koramangala 5th Block,4.4/5,Yes,"1,400"
Tiwari's Ghee Paratha And Chaats,BTM,,Yes,200
Woodee Pizza,JP Nagar,2.7/5,Yes,500
Cable Car,Jayanagar,4.3/5,Yes,"1,000"
Krazzy Folds,Jayanagar,4.2/5,Yes,800
Garage Food Company,HSR,3.8/5,Yes,300
Eat N Drink,BTM,3.8/5,No,250
Fudge,Jayanagar,3.2/5,Yes,200
Malabar Treat,Koramangala 1st Block,3.4/5,Yes,500
Malabar Xpress,Koramangala 5th Block,,Yes,300
Tangra Indo - Chinese Cuisine,Jayanagar,3.6/5,Yes,400
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,3.9/5,Yes,"1,200"
Ugadi,Jayanagar,2.9/5,Yes,700
Spice Up,JP Nagar,3.8/5,Yes,600
The Arabian Nights,BTM,2.6/5,Yes,300
Shift,HSR,4.2/5,Yes,"1,500"
Midnight Mania,BTM,4.1/5,Yes,700
Namma Kudla,JP Nagar,3.9/5,Yes,400
Prawn Crunch,BTM,3.2/5,Yes,400
Food Springs,Jayanagar,4.0/5,Yes,400
Stop N Joy,BTM,NEW,No,150
Mini Adiga's,BTM,2.8/5,No,250
Vinaya Cafe,Jayanagar,3.4/5,Yes,200
Kababji Cafe,HSR,,Yes,300
Snakk That,HSR,3.9/5,Yes,250
Swathi Maharaja,Koramangala 4th Block,3.7/5,Yes,750
Sai Mango Tree,BTM,3.6/5,Yes,500
Via Milano,Koramangala 4th Block,4.2/5,Yes,"1,500"
Ambur Dum Biryani,BTM,,No,200
Dr. Shawarma,HSR,,Yes,200
Mimansa @ Foxtrot,Koramangala 3rd Block,4.4/5,Yes,"1,000"
Biriyaniz,HSR,3.4/5,Yes,400
Oldtown Dilli,Koramangala 4th Block,4.1/5,Yes,750
Hotel Smile,Jayanagar,3.1/5,Yes,550
Taj Darbar,Koramangala 5th Block,3.8/5,Yes,600
Fava Bistro,Koramangala 5th Block,4.4/5,Yes,"1,500"
Midnight Restro,BTM,3.4/5,Yes,500
Mirch Masala,JP Nagar,3.4/5,Yes,500
City Durbar,Jayanagar,3.7/5,Yes,450
Kings Kitchen,Koramangala 1st Block,3.3/5,Yes,500
Heaven 2 Oven,BTM,NEW,Yes,300
New Andhra Spice,BTM,3.6/5,Yes,600
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,4.0/5,Yes,"1,100"
Eshanya,Jayanagar,4.1/5,Yes,"1,000"
Amaravati,BTM,3.6/5,No,400
More Than Chocolates,BTM,3.6/5,No,200
Cafe Orio,BTM,4.0/5,No,400
Tandoor Hut,Koramangala 5th Block,4.1/5,Yes,700
New Royal Treat,Bannerghatta Road,2.8/5,Yes,350
Om Sai Baba Mess,HSR,3.1/5,Yes,250
Hotel Annapoorna,Bannerghatta Road,3.2/5,Yes,400
RBP Greens Garden,BTM,2.7/5,Yes,700
Crunchy Nights,BTM,3.6/5,Yes,350
Punjab Bistro,Koramangala 7th Block,4.4/5,Yes,"1,500"
Elmas Restaurant,Koramangala 7th Block,3.4/5,Yes,650
The Jade Kitchen,JP Nagar,4.0/5,Yes,400
The Sandwich Club,HSR,3.9/5,Yes,250
Bawarchi Inn,BTM,3.1/5,Yes,600
Bella,Jayanagar,3.9/5,Yes,"1,000"
Crawl Street,Koramangala 5th Block,4.3/5,Yes,"1,200"
Vintage Shack,HSR,3.9/5,Yes,900
Supreme Biryani,Koramangala,,Yes,400
Zingron,Koramangala 7th Block,4.0/5,Yes,750
Shawarma Inc,Bannerghatta Road,3.2/5,Yes,250
Magnolia,Koramangala 3rd Block,4.1/5,Yes,900
The Kitchen,Koramangala 1st Block,3.6/5,Yes,300
Rajvardhan Foods,Jayanagar,3.9/5,Yes,300
Chicken Man,JP Nagar,3.8/5,Yes,400
Green Go,Bannerghatta Road,NEW,Yes,200
You N Cane,Jayanagar,,Yes,250
Bharat Kitchen,Koramangala 1st Block,3.7/5,Yes,300
Tandoori,Koramangala 5th Block,,Yes,300
Kargeens,Koramangala 6th Block,4.1/5,Yes,600
Tomago Roast,BTM,3.5/5,Yes,400
Dilish Kitchens,BTM,3.7/5,No,500
Champaran Spice,BTM,3.4/5,No,400
French Bakery,BTM,3.3/5,No,250
Aramane Restaurant,Bannerghatta Road,2.9/5,Yes,800
Drunkling - Sizzlers and Pub,Koramangala 5th Block,4.4/5,Yes,"1,000"
Bengali Fun Foods,BTM,3.9/5,Yes,600
Goodness! Beverages,Koramangala,3.4/5,Yes,250
Bombay Talkies,Jayanagar,3.7/5,Yes,200
Bhojon Tripti,Bannerghatta Road,2.9/5,Yes,300
Khan Saab Hotel,Bommanahalli,3.1/5,Yes,300
Euki,Jayanagar,4.1/5,Yes,900
A.M New Punjab Food Corner,Koramangala 1st Block,3.5/5,Yes,350
Bisimillah Biriyani's & Kebab's,BTM,3.3/5,No,300
SS Hot Dhum Briyani Point,BTM,,No,200
Samosa King,BTM,3.4/5,No,200
The Cheesecake Corner,BTM,3.7/5,No,400
Food Court,JP Nagar,,Yes,300
Vyanjan,BTM,3.9/5,Yes,300
Mid Night Hunting,Ejipura,3.7/5,Yes,300
Carrots,Koramangala 6th Block,4.1/5,Yes,"1,100"
Eatsomnia,JP Nagar,NEW,Yes,500
Swad 'E' Punjab,HSR,3.6/5,Yes,500
Rolls & Co,Koramangala 6th Block,3.9/5,Yes,400
Fogg,BTM,NEW,No,200
Sunny Cafe & Kitchen,HSR,3.8/5,Yes,700
The Paratha Stories,Koramangala 1st Block,3.3/5,Yes,400
Mycakeshop,BTM,,Yes,300
Vyanjan,BTM,3.9/5,Yes,300
Mid Night Hunting,Ejipura,3.7/5,Yes,300
Carrots,Koramangala 6th Block,4.1/5,Yes,"1,100"
Eatsomnia,JP Nagar,NEW,Yes,500
Rolls & Co,Koramangala 6th Block,3.9/5,Yes,400
Fogg,BTM,NEW,No,200
The Paratha Stories,Koramangala 1st Block,3.3/5,Yes,400
Mycakeshop,BTM,,Yes,300
Roll N Rock,JP Nagar,3.7/5,Yes,400
A Today Thick Shakes,Koramangala 5th Block,3.2/5,Yes,200
Armaani Caffe,BTM,3.5/5,Yes,250
Hungry Buddies,BTM,3.3/5,No,150
Dhabeliwala,JP Nagar,3.8/5,Yes,250
Wok And Rolls,Koramangala 1st Block,,Yes,300
Hang10 Resto N Cafe,BTM,3.8/5,Yes,700
Bubblewrap Waffle Co.,Jayanagar,4.4/5,Yes,400
Swad Restaurant,BTM,3.7/5,Yes,550
Northern Bites,Bannerghatta Road,3.2/5,Yes,400
Asgardian Moreover Chai,BTM,NEW,No,300
Sober Turtle,Koramangala 4th Block,3.4/5,No,250
Dilli ??,South Bangalore,,Yes,500
Classic Biryani Hut,HSR,3.4/5,Yes,300
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,3.7/5,Yes,500
Khan's Biryani,BTM,3.0/5,Yes,300
Khaja Military Hotel,HSR,,Yes,400
Abhiruchi Moonlight,Bommanahalli,3.3/5,Yes,300
Dhaba Express,HSR,3.7/5,Yes,400
TOKI Taco House,Koramangala 6th Block,3.6/5,Yes,200
Hotel Vedha,BTM,,No,200
Multi Kitchen,BTM,,No,300
Bangali Babu Restaurant,BTM,,No,250
JP Fish Land,BTM,3.6/5,Yes,300
Eatery Have U Been,BTM,3.4/5,Yes,500
Comboeats,HSR,,Yes,550
Salkara Arabian Delight & Bakes,Koramangala 1st Block,,Yes,300
Sip N Bite,Bommanahalli,3.3/5,Yes,300
Tiffin Box,BTM,NEW,Yes,200
Candy Cake,BTM,3.4/5,No,500
Whooppeezz,BTM,4.0/5,No,500
Hungry Lee,BTM,4.1/5,No,500
South Side Grill,HSR,3.5/5,Yes,600
Cinnamon,HSR,3.9/5,Yes,550
Kolakata Biryani Cafe,BTM,,No,400
Ammayi Thakkaram,BTM,,No,400
Udupi Thadka,BTM,,No,250
Sri Venkateswara Andra Mess,BTM,,No,120
Yaduvanshi Hotel,BTM,,No,300
Holige Mane,BTM,,No,150
The Lassi Bar,BTM,3.7/5,No,300
Singh Punjabi Dhaba,BTM,3.8/5,No,400
Pabrai's Fresh and Naturelle Icecreams,BTM,3.7/5,No,300
Al-Madina,BTM,3.3/5,No,500
Banjara Melting Pot,Koramangala 4th Block,4.2/5,Yes,"1,700"
Homely Curries & Pickles,BTM,3.4/5,Yes,300
Kopper Kadai,Koramangala 5th Block,4.1/5,Yes,"1,200"
Late Night,BTM,3.6/5,No,500
Punjabi Daawat,BTM,2.4/5,No,550
Borah's Kitchen,BTM,3.3/5,Yes,250
Momo Jojo,BTM,3.4/5,Yes,300
Mountain Spice,Koramangala 8th Block,3.9/5,Yes,400
Kevins Kitchen,Koramangala 6th Block,3.7/5,Yes,400
Yeti,BTM,3.7/5,No,300
The Biryani Story,BTM,4.4/5,No,600
Tasty Magic,BTM,2.7/5,Yes,600
Freeze It,BTM,3.6/5,Yes,300
Spoorthi Ice Cream,BTM,,No,150
Maruti Garden,BTM,,No,450
Sofiya Cakes,BTM,,No,300
Oveanly,BTM,,No,200
Coffee Time,BTM,,No,150
Sree Food Paradise,BTM,,No,150
Ayush Reddy Tiffins & Fast Food Center,BTM,,No,300
RK Fast Food,BTM,,No,300
Dhe Chef Cafe,BTM,,No,200
Hungry Mates,BTM,,No,300
Paradise Food Court,BTM,,No,400
Blends Juice Cafe,BTM,,No,200
Foodiction,BTM,,No,500
Shawarma Corner,BTM,,No,100
Royal Dine Family Restaurant,BTM,,No,400
Chai Makhan,BTM,,No,300
Namms Cafe,BTM,,No,300
Zed Cafe,BTM,,No,350
RGS Ambur briyani,BTM,,No,300
Delicious Mom's Kitchen,BTM,NEW,No,200
Bisimillah Biriyani,BTM,3.5/5,No,300
Chung Wah Opus,JP Nagar,3.0/5,Yes,650
Mumbai Kulfi,JP Nagar,,Yes,200
Marahaba,Koramangala 6th Block,3.0/5,Yes,400
Invitation Bar & Restaurant,BTM,3.0/5,No,"1,000"
Chettinad Food House,BTM,3.1/5,No,300
RP Sweets,BTM,3.4/5,No,300
Kaaka T Cafe,BTM,3.5/5,No,400
Melt,BTM,4.0/5,No,"1,000"
Hearts Unlock Cafe,BTM,3.2/5,No,500
Blue Berry Restaurant,BTM,2.9/5,No,600
Food Junction,BTM,3.5/5,No,400
Chefie,Koramangala 1st Block,3.8/5,Yes,200
New Grand Restaurant,BTM,3.1/5,Yes,500
Bun Town,Koramangala 5th Block,3.8/5,Yes,500
